Review Date,Author Name,Comment
3/1/24,s*****a,"Quality:good
Taste:very good

Barang sampai dengan selamat,packaging sangat2 lah tebal..rasa belom try lagi,harap2 kena dengan tekak boleh gu mkn dengan sambal nyet berapi..terima kasih yer."
2/26/24,a*****n,"Taste:Well balanced and aromatic taste
Quality:Great

Sedap, manis masin yang balance, ada aroma tersendiri yang kuat dan unik. Daging lembut dan sesuai dimakan untuk kids or elders, my mom pun suprisingly suka and request untuk order lagi."
3/7/24,dahliaazilah96,"Quality:good
Taste:sedap

Beli time lunching kat shopee, Alhamdulillah rezeki dapat grab 6 pax terus time live 🤭
Packaging elok senang nak bawa travel, tapi better tukar utk ziplock senang utk simpan ..
Dari segi rasaa memang sedap 👍🏻"
2/19/24,a*****2,"Dendeng dah sampai dlm keadaan baikk..bungkusan kemas & tebal..sy dah mkn, rasa dendeng tu sedappp, kena dgn selera..mkn plak dgn nasi panas..sesuai utk org yg tak mkn pedas sngt (pedas2 manja)..nnt nk repeat order lggg"
2/28/24,g*****0,"Taste:Sedap & boleh ditambah baik lagi.
Quality:Bagus.

Bagi saya kuantiti 1 pek boleh 3 - 4 kali makan untuk 1 orang. Tidak susah untuk mengunyah. Pedas juga sesuai untuk semua. Pada saya Dendeng tidak sepatutnya berair. Dari segi kualiti rasa mungkin bolehlah tambah masa memasak lebih lama lagi supaya dapat rasa yang lebih ‘combine’ & tidak berair. Boleh ditambah baik lagi. Lama lama ngam la tu macam Sambal Nyet Berapi 🤌 Keep up the good work 🙌"
2/22/24,a*****s,"Taste:manis sikit, pedas so-so.
Quality:Packaging bagus. No leaking.

Rezeki dapat beli masa launch dekat shopee. Maybe high expectations, end up tidak begitu mencapai tahap piawaian diri sendiri 😂. Daging nya mmg lerai sungguh. Ada rs manis di situ. Manis kicap la kot ya. Tahap kepedasan, so-so je. Rs kene add on sambal nyet baru rasa dia umph! 
Overall, boleh makan on the go utk org yg tidak cerewet bab makan, memudahkan student yg nk jimat duit makan, untuk traveller. Boleh je beli utk stock bila malas nk masak, kita rendam je dalam air panas, then ready to eat. Sekian. Keep it up KA."
2/21/24,norhayatibtbashah,"Taste:sedapppp , berasa all the ingredients serai, halia kicap alll! cuma for me kurang pedas skit, ade rasa pedas after taste tp tak cukup pedas utk diri ini, kalau pedas sikit masin skit balance rasa manis tu, so far sedap jee dont worry
Quality:packaging sangat tebal ye product sampai in a good condition!"
2/23/24,syahmie_ismail95,"Quality:Kualiti daging yg lembut & dihiris nipis
Taste:Rasa yg sgt sedap sesuai utk dimakan semua golongan

Bg pendapat sy packaging dendeng blh ditambah baik dgn adanya ziplock. Mudah bg sy ingin menyimpan. Setiap kli sy ingin simpan sy perlu ikat dgn getah supaya kualiti rasa tidak hilang. Bagi sy kualiti dendeng mmg sdp dimakan."
3/6/24,n*****a,"Quality:terbaik
Taste:sangat sedap

Sangat sedap. Wangi. Suka tekstur dendeng senang untuk dimakan. Rasa manis sikit. Pedas level masih boleh dimakan bagi sy yang tak makan pedas sangat. Bg budak2 mungkin pedas. Packaging cantik!"
3/21/24,yuswanti75,"Quality:terbaik
Taste:sedappp

Barang diterima dengan selamat. Ini belian battle yg ke empat beli untuk simpan stok bulan puasa. Rasanya sedap dan tak berapa pedas bagi saya yg tak boleh makan yg terlalu pedas. Bungkusan pun tebal terbaik KA dan team.. 👍👍"
